ID,timestamp,latitude,longitude,temperature,humidity
5004,1419286080,-37.8149218,144.9822582,21.93,50.667
5005,1419286680,-37.8149218,144.9822582,21.93,51.927
5006,1419287340,-37.8149218,144.9822582,21.29,56.337
5007,1419287940,-37.8149218,144.9822582,20.32,63.117
5008,1419288540,-37.8149218,144.9822582,20.64,60.757
5009,1419289140,-37.8149218,144.9822582,20.96,57.447
5010,1419289800,-37.8149218,144.9822582,21.93,54.287
5011,1419290400,-37.8149218,144.9822582,21.93,55.707
5012,1419291000,-37.8149218,144.9822582,21.61,53.657
5013,1419291600,-37.8149218,144.9822582,20.64,55.547
5014,1419292260,-37.8149218,144.9822582,20.96,
5015,1419292860,-37.8149218,144.9822582,20.96,56.657
5016,1419293460,-37.8149218,144.9822582,20,59.017
5017,1419294060,-37.8149218,144.9822582,,60.127
5018,1419294720,-37.8149218,144.9822582,18.38,59.177
5019,1419295320,-37.8149218,144.9822582,18.38,60.437
5020,1419295920,-37.8149218,144.9822582,17.74,60.127
5021,1419296580,-37.8149218,144.9822582,17.41,60.437
5022,1419297180,-37.8149218,144.9822582,17.41,59.967
5023,1419297780,-37.8149218,144.9822582,17.41,59.337
5024,1419298380,-37.8149218,144.9822582,17.41,57.917
5025,1419299040,-37.8149218,144.9822582,17.41,58.387
5026,1419299640,-37.8149218,144.9822582,17.41,57.917
5027,1419300240,-37.8149218,144.9822582,17.09,57.917
5028,1419300840,-37.8149218,144.9822582,17.09,58.387
5029,1419301500,-37.8149218,144.9822582,17.09,59.017
5030,1419302100,-37.8149218,144.9822582,17.09,57.447
5031,1419302700,-37.8149218,144.9822582,16.77,57.757
5032,1419303300,-37.8149218,144.9822582,16.77,57.127
5033,1419303960,-37.8149218,144.9822582,16.77,56.807
5034,1419304560,-37.8149218,144.9822582,16.77,56.807
5035,1419305160,-37.8149218,144.9822582,16.77,58.707
5036,1419305820,-37.8149218,144.9822582,16.45,58.547
5037,1419306420,-37.8149218,144.9822582,16.45,57.127
5038,1419307020,-37.8149218,144.9822582,16.45,56.497
5039,1419307620,-37.8149218,144.9822582,16.45,55.237
5040,1419308280,-37.8149218,144.9822582,16.12,54.917
5041,1419308880,-37.8149218,144.9822582,16.12,
5042,1419309480,-37.8149218,144.9822582,16.12,54.127
5043,1419310080,-37.8149218,144.9822582,16.12,55.077
5044,1419310740,-37.8149218,144.9822582,16.12,54.757
5045,1419311340,-37.8149218,144.9822582,,54.607
5046,1419311940,-37.8149218,144.9822582,16.12,
5047,1419312540,-37.8149218,144.9822582,16.12,54.127
5048,1419313200,-37.8149218,144.9822582,16.12,53.657
5049,1419313800,-37.8149218,144.9822582,16.12,53.657
5050,1419314400,-37.8149218,144.9822582,15.8,53.027
5051,1419315060,-37.8149218,144.9822582,15.8,52.717
5052,1419315660,-37.8149218,144.9822582,15.8,52.237
5053,1419316260,-37.8149218,144.9822582,15.8,
5054,1419316860,-37.8149218,144.9822582,15.48,50.977
5055,1419317520,-37.8149218,144.9822582,15.48,49.247
5056,1419318120,-37.8149218,144.9822582,15.48,49.397
5057,1419318720,-37.8149218,144.9822582,15.48,50.507
5058,1419319320,-37.8149218,144.9822582,15.48,50.507
5059,1419319980,-37.8149218,144.9822582,15.48,
5060,1419320580,-37.8149218,144.9822582,15.48,45.307
5061,1419321180,-37.8149218,144.9822582,15.48,45.937
5062,1419321780,-37.8149218,144.9822582,,46.087
5063,1419322440,-37.8149218,144.9822582,15.48,46.087
5064,1419323040,-37.8149218,144.9822582,15.48,47.827
5065,1419323640,-37.8149218,144.9822582,15.16,47.197
5066,1419324300,-37.8149218,144.9822582,15.16,48.137
5067,1419324900,-37.8149218,144.9822582,15.16,48.137
5068,1419325500,-37.8149218,144.9822582,14.83,47.827
5069,1419326100,-37.8149218,144.9822582,14.83,47.827
5070,1419326760,-37.8149218,144.9822582,14.51,48.617
5071,1419327360,-37.8149218,144.9822582,14.83,48.767
5072,1419327960,-37.8149218,144.9822582,14.51,49.087
5073,1419328560,-37.8149218,144.9822582,14.51,49.247
5074,1419329220,-37.8149218,144.9822582,14.51,49.877
5075,1419329820,-37.8149218,144.9822582,14.83,50.027
5076,1419330420,-37.8149218,144.9822582,14.51,50.347
5077,1419331020,-37.8149218,144.9822582,13.87,50.817
5078,1419331680,-37.8149218,144.9822582,14.19,50.977
5079,1419332280,-37.8149218,144.9822582,14.19,51.137
5080,1419332880,-37.8149218,144.9822582,13.87,50.977
5081,1419333540,-37.8149218,144.9822582,13.87,52.077
5082,1419334140,-37.8149218,144.9822582,13.87,
5083,1419334740,-37.8149218,144.9822582,13.87,52.717
5084,1419335340,-37.8149218,144.9822582,13.87,52.557
5085,1419336000,-37.8149218,144.9822582,13.22,57.127
5086,1419336600,-37.8149218,144.9822582,13.22,59.017
5087,1419337200,-37.8149218,144.9822582,13.22,61.227
5088,1419337800,-37.8149218,144.9822582,12.9,
5089,1419338460,-37.8149218,144.9822582,12.58,63.277
5090,1419339060,-37.8149218,144.9822582,12.58,63.587
5091,1419339660,-37.8149218,144.9822582,12.9,64.377
5092,1419340260,-37.8149218,144.9822582,,64.067
5093,1419340920,-37.8149218,144.9822582,12.9,64.067
5094,1419341520,-37.8149218,144.9822582,12.9,63.907
5095,1420407300,-37.8149218,144.9822582,20.32,48.29
5096,1420407900,-37.8149218,144.9822582,22.25,46.08
5097,1420408500,-37.8149218,144.9822582,22.25,44.82
5098,1420409100,-37.8149218,144.9822582,22.58,43.88
5099,1420409760,-37.8149218,144.9822582,22.25,43.88
5100,1420410360,-37.8149218,144.9822582,22.58,43.88
5101,1420410960,-37.8149218,144.9822582,22.25,43.56
5102,1420411560,-37.8149218,144.9822582,22.58,43.56
5103,1420412220,-37.8149218,144.9822582,22.58,43.88
5104,1420412820,-37.8149218,144.9822582,22.25,44.82
5105,1420413420,-37.8149218,144.9822582,22.25,46.56
5106,1420414080,-37.8149218,144.9822582,23.87,43.72
5107,1420414680,-37.8149218,144.9822582,22.9,43.72
5108,1420415280,-37.8149218,144.9822582,22.58,44.03
5109,1420415880,-37.8149218,144.9822582,22.58,44.66
5110,1420416540,-37.8149218,144.9822582,22.25,
5111,1420417140,-37.8149218,144.9822582,23.22,44.82
5112,1420417740,-37.8149218,144.9822582,22.58,44.98
5113,1420418340,-37.8149218,144.9822582,22.9,
5114,1420419000,-37.8149218,144.9822582,22.25,46.24
5115,1420419600,-37.8149218,144.9822582,20.64,48.13
5116,1420420200,-37.8149218,144.9822582,21.61,47.19
5117,1420420800,-37.8149218,144.9822582,19.67,51.76
5118,1420421460,-37.8149218,144.9822582,19.67,52.71
5119,1420422060,-37.8149218,144.9822582,19.67,51.76
5120,1420422660,-37.8149218,144.9822582,19.67,51.6
5121,1420423320,-37.8149218,144.9822582,19.35,52.55
5122,1420423920,-37.8149218,144.9822582,,51.76
5123,1420424520,-37.8149218,144.9822582,19.35,50.02
5124,1420425120,-37.8149218,144.9822582,19.35,49.71
5125,1420425780,-37.8149218,144.9822582,19.35,49.71
5126,1420426380,-37.8149218,144.9822582,19.03,49.24
5127,1420426980,-37.8149218,144.9822582,18.7,48.92
5128,1420427580,-37.8149218,144.9822582,18.38,49.39
5129,1420428240,-37.8149218,144.9822582,18.38,
5130,1420428840,-37.8149218,144.9822582,,49.71
